country,year,net,totalNet
Chile,1996,-66195930,-7333564781
Chile,1998,-279286896,-7333564781
Chile,1982,-25718071,-7333564781
Chile,1977,-2568149,-7333564781
Chile,1976,-155551297,-7333564781
Chile,1979,-49451759,-7333564781
Chile,1980,-17218386,-7333564781
Chile,1973,-88056078,-7333564781
Chile,1981,-24802202,-7333564781
Chile,1975,-365408442,-7333564781
Chile,1974,-257689227,-7333564781
Chile,1983,-33869655,-7333564781
Chile,1978,-4418418,-7333564781
Chile,2011,-63814172,-7333564781
Chile,2012,-72801720,-7333564781
Chile,2013,-302293325,-7333564781
Kuwait,1993,25461230,-6402461757
Kuwait,1996,20769059,-6402461757
Kuwait,1998,373869,-6402461757
Kuwait,1978,103885863,-6402461757
Kuwait,1976,206494798,-6402461757
Kuwait,2001,-2824694,-6402461757
Kuwait,1992,-7400203071,-6402461757
Kuwait,1989,43493083,-6402461757
Kuwait,1988,13493275,-6402461757
Kuwait,1986,84167688,-6402461757
Kuwait,1984,27051193,-6402461757
Kuwait,1983,154970641,-6402461757
Kuwait,1982,181627819,-6402461757
Kuwait,1981,298485699,-6402461757
Kuwait,1979,59307807,-6402461757
Kuwait,1980,23153412,-6402461757
Kuwait,1977,86642765,-6402461757
Kuwait,1991,-10244282,-6402461757
Kuwait,1994,-6860796,-6402461757
Kuwait,1995,-302540263,-6402461757
Kuwait,2000,-959746,-6402461757
Kuwait,1997,-530951,-6402461757
Kuwait,2004,-2097489,-6402461757
Kuwait,2002,-3038480,-6402461757
Kuwait,1999,-868779,-6402461757
Kuwait,2003,-819946,-6402461757
Kuwait,1973,-325483,-6402461757
Kuwait,1990,-1568,-6402461757
Kuwait,1985,-524410,-6402461757
Romania,2005,-278521,-3329059861
Romania,2007,-97380,-3329059861
Romania,2008,-12192,-3329059861
Romania,2002,-277336395,-3329059861
Romania,2001,-636869083,-3329059861
Romania,2000,-223359836,-3329059861
Romania,1999,-222375326,-3329059861
Romania,1998,-339859562,-3329059861
Romania,1980,-44381441,-3329059861
Romania,1981,-262077414,-3329059861
Romania,1995,-189810215,-3329059861
Romania,1996,-240362515,-3329059861
Romania,1997,-168028130,-3329059861
Romania,1993,-92433527,-3329059861
Romania,1994,-47195859,-3329059861
Romania,2004,-198721214,-3329059861
Romania,1990,-299897,-3329059861
Romania,2003,-202807923,-3329059861
Romania,1992,-174756620,-3329059861
Romania,1989,-5092048,-3329059861
Romania,1991,-2904763,-3329059861
Taiwan,1994,42972980,-3315816912
Taiwan,1999,-573709935,-3315816912
Taiwan,2006,6324571,-3315816912
Taiwan,2008,348667,-3315816912
Taiwan,2010,287807,-3315816912
Taiwan,2007,375139,-3315816912
Taiwan,2009,312954,-3315816912
Taiwan,2011,282125,-3315816912
Taiwan,1984,-247894043,-3315816912
Taiwan,1981,-312886996,-3315816912
Taiwan,1982,-617069786,-3315816912
Taiwan,1980,-374058844,-3315816912
Taiwan,2002,-170259619,-3315816912
Taiwan,2000,-779075653,-3315816912
Taiwan,1983,-54105626,-3315816912
Taiwan,1985,-28782961,-3315816912
Taiwan,1988,-29459009,-3315816912
Taiwan,1989,-75026666,-3315816912
Taiwan,1986,-21795291,-3315816912
Taiwan,1987,-14965414,-3315816912
Taiwan,1996,-9333721,-3315816912
Taiwan,1995,-2561779,-3315816912
Taiwan,1998,-876129,-3315816912
Taiwan,2004,-17888290,-3315816912
Taiwan,2003,-15103689,-3315816912
Taiwan,1997,-2454079,-3315816912
Taiwan,2001,-13689330,-3315816912
Taiwan,1974,-115048,-3315816912
Taiwan,1991,-5446049,-3315816912
Taiwan,1977,-163198,-3315816912
Saudi Arabia,1977,540365522,-3179338414
Saudi Arabia,1983,-127373976,-3179338414
Saudi Arabia,1984,287513033,-3179338414
Saudi Arabia,1985,92545184,-3179338414
Saudi Arabia,1987,72707674,-3179338414
Saudi Arabia,1981,-278051399,-3179338414
Saudi Arabia,1978,250639787,-3179338414
Saudi Arabia,1980,-7954278,-3179338414
Saudi Arabia,1986,-520641,-3179338414
Saudi Arabia,2001,-5047242,-3179338414
Saudi Arabia,1999,-2722986716,-3179338414
Saudi Arabia,1982,-197083911,-3179338414
Saudi Arabia,1988,-42431775,-3179338414
Saudi Arabia,1991,-89458009,-3179338414
Saudi Arabia,1992,-148479604,-3179338414
Saudi Arabia,2000,-707503988,-3179338414
Saudi Arabia,2006,-14209342,-3179338414
Saudi Arabia,2007,-16462193,-3179338414
Saudi Arabia,2003,-8735630,-3179338414
Saudi Arabia,2005,-9206877,-3179338414
Saudi Arabia,2004,-12603354,-3179338414
Saudi Arabia,1996,-2409008,-3179338414
Saudi Arabia,2002,-2651835,-3179338414
Saudi Arabia,1998,-1348961,-3179338414
Saudi Arabia,1997,-2120366,-3179338414
Saudi Arabia,1995,-7397882,-3179338414
Saudi Arabia,1994,-5682814,-3179338414
