country,year,net
Thailand,1984,-1135099078
Thailand,1987,-1016033769
Thailand,1989,-626032718
Thailand,1991,-1898189675
Thailand,1992,-1014335727
Thailand,1993,-3338548445
Colombia,2000,-1899134643
Czech Republic,2000,-145892164
Czech Republic,1999,-82522618
Czech Republic,1998,-120505911
Thailand,1994,-1416098158
Thailand,1996,-1671334558
Thailand,1997,-6371021429
Greece,1988,-37727914
Colombia,1986,-310212012
Colombia,1987,-74058995
Latvia,1992,-106443347
Korea,1988,-438174916
Korea,1989,-233488453
Korea,1990,-1095572646
Korea,1991,-39850875
Kuwait,1991,-10244282
Kuwait,1994,-6860796
Korea,1987,-482793059
Lithuania,1998,-61227246
Latvia,1995,-39008900
Latvia,1998,-46078691
Brazil,1992,-269771857
Cyprus,1991,-24108788
Czech Republic,1991,-392264026
Chile,1987,-62625327
Chile,1990,-260281186
Chile,1991,-575859750
Chile,1992,-686092378
Chile,1994,-98616016
Colombia,1991,-484986642
Estonia,1996,-30942970
Estonia,1998,-20250742
Greece,1980,-115371982
Greece,1985,-36819257
Colombia,1998,-407763235
Colombia,1999,-881928095
Thailand,1983,-1165432587
Thailand,1985,-1151123605
Thailand,1986,-762121484
Thailand,1988,-1297612686
Poland,1990,-3069497876
Poland,1991,-326279481
Portugal,1984,-1826510
Korea,1982,-216083049
Korea,1986,-119590826
Cyprus,2007,-4469
Hungary,1990,-315616677
Portugal,1988,-2538321
Qatar,1993,-9564499
Romania,1993,-92433527
Hungary,1991,-624227866
Hungary,1992,-179864578
Hungary,1994,-393976481
Hungary,1995,-330369147
Hungary,1996,-349275403
Hungary,1997,-53047029
Hungary,2000,-29607289
Saudi Arabia,1982,-197083911
India,1984,-4584531386
Ireland,1990,-46238132
Ireland,1991,-6065209
India,1999,-1932216592
Saudi Arabia,1988,-42431775
Saudi Arabia,1991,-89458009
Saudi Arabia,1992,-148479604
Slovak Republic,1995,-75586685
South Africa,1994,-516230795
South Africa,1995,-626257607
South Africa,1996,-974078843
South Africa,2000,-737221627
Taiwan,1983,-54105626
Taiwan,1985,-28782961
Taiwan,1988,-29459009
Taiwan,1989,-75026666
Chile,1997,-180051006
Czech Republic,1995,-182015721
Ireland,1981,-58605044
Finland,1986,-83529726
Iceland,1980,-18060045
India,1980,-2968245303
Chile,2000,-143596162
India,2000,-1141656334
Saudi Arabia,2000,-707503988
India,1988,-3844238228
Colombia,2001,-585022135
Taiwan,1986,-21795291
Taiwan,1987,-14965414
Thailand,1998,-2437534353
New Zealand,1980,-11703716
Qatar,1988,-9137956
Chile,1996,-66195930
Portugal,1986,-21863247
Thailand,1995,-792655526
Kuwait,1995,-302540263
Romania,1994,-47195859
Chile,1998,-279286896
Italy,1981,-3585196
Poland,1981,-35410
Hungary,2001,-71227382
Lithuania,2001,-30635613
Latvia,2001,-22714406
Poland,1982,-70326
Italy,1982,-663971
India,2005,-3340560624
Poland,2004,-428513747
Romania,2004,-198721214
Hungary,2004,-53861240
Colombia,2002,-835264836
Hungary,2002,-46184177
Colombia,2006,-1617817757
Poland,2000,-632761107
Hungary,1998,-27853171
Slovak Republic,1996,-120767538
Romania,1990,-299897
Slovenia,1993,-2609520
Poland,2003,-492707038
Romania,2003,-202807923
Latvia,2003,-15787761
Lithuania,2003,-33181470
Hungary,2003,-68595560
Poland,2007,-54102
Poland,1983,-63282
South Africa,2007,-1070653291
Slovenia,2008,-105521
